id,media_type,slug,role,rank,size,url,alt_text,caption,credit
1011,image,moon-seeds-artemis,h,,large,images/large/moon-seeds-artemis_large.webp,Moon Seeds prepared for travel aboard Artemis I,,https://www.nasa.gov/learning-resources/nasa-usda-forest-service-fly-next-generation-of-moon-tree-seeds-on-artemis-i/
1009,image,pennant,,,thumb,images/thumb/pennant_001_thumb.webp,Khrushchev presents a replica of the Soviet pennant spheres to President Eisenhower ,,"https://www.terra.com.br/byte/ciencia/as-tres-vitorias-da-uniao-sovietica-na-corrida-a-lua-contra-os-eua,468b2039b0c49b8aebc089b52d9bf72fnprq34ke.html"
1009,image,pennant,,,medium,images/medium/pennant_001_medium.webp,Khrushchev presents a replica of the Soviet pennant spheres to President Eisenhower ,,"https://www.terra.com.br/byte/ciencia/as-tres-vitorias-da-uniao-sovietica-na-corrida-a-lua-contra-os-eua,468b2039b0c49b8aebc089b52d9bf72fnprq34ke.html"
1009,image,pennant,,,large,images/large/pennant_001_large.webp,Khrushchev presents a replica of the Soviet pennant spheres to President Eisenhower ,,"https://www.terra.com.br/byte/ciencia/as-tres-vitorias-da-uniao-sovietica-na-corrida-a-lua-contra-os-eua,468b2039b0c49b8aebc089b52d9bf72fnprq34ke.html"
1012,image,goodwill-messages,o,,thumb,images/thumb/goodwill-messages_thumb.webp,Replica of the Apollo 11 goodwill disc left on the lunar surface,,https://www.rrauction.com/auctions/lot-detail/339999805384305-apollo-11-goodwill-silicon-disc/
1012,image,goodwill-messages,,,medium,images/medium/goodwill-messages_medium.webp,Replica of the Apollo 11 goodwill disc left on the lunar surface,,https://www.rrauction.com/auctions/lot-detail/339999805384305-apollo-11-goodwill-silicon-disc/
1012,image,goodwill-messages,h,,large,images/large/goodwill-messages_large.webp,Replica of the Apollo 11 goodwill disc left on the lunar surface,,https://www.rrauction.com/auctions/lot-detail/339999805384305-apollo-11-goodwill-silicon-disc/
1013,image,olive-branch,o,,thumb,images/thumb/olive-branch_thumb.webp,Replica of the Gold Olive Branch placed on the lunar surface,,https://commons.wikimedia.org/w/index.php?curid=6460067
1013,image,olive-branch,,,medium,images/medium/olive-branch_medium.webp,Replica of the Gold Olive Branch placed on the lunar surface,,https://commons.wikimedia.org/w/index.php?curid=6460067
1013,image,olive-branch,h,,large,images/large/olive-branch_large.webp,Replica of the Gold Olive Branch placed on the lunar surface,,https://commons.wikimedia.org/w/index.php?curid=6460067
1014,image,wright-fragments,o,,thumb,images/thumb/wright-fragments_thumb.webp,The wright fragments carried onboard Apollo 11,,https://airandspace.si.edu/collection-objects/wood-and-fabric-1903-wright-flyer-apollo11/nasm_A19721288000
1014,image,wright-fragments,,,medium,images/medium/wright-fragments_medium.webp,The wright fragments carried onboard Apollo 11,,https://airandspace.si.edu/collection-objects/wood-and-fabric-1903-wright-flyer-apollo11/nasm_A19721288000
1014,image,wright-fragments,h,,large,images/large/wright-fragments_large.webp,The wright fragments carried onboard Apollo 11,,https://airandspace.si.edu/collection-objects/wood-and-fabric-1903-wright-flyer-apollo11/nasm_A19721288000
1015,image,golf-balls,o,,thumb,images/thumb/golf-balls_thumb.webp,A view from the Apollo 14 lunar module. One of Alan Shepard's golf balls is visible beneath the javelin.,,https://www.space.com/apollo-14-moon-landing-golf-shot-analysis
1015,image,golf-balls,,,medium,images/medium/golf-balls_medium.webp,A view from the Apollo 14 lunar module. One of Alan Shepard's golf balls is visible beneath the javelin.,,https://www.space.com/apollo-14-moon-landing-golf-shot-analysis
